title,release,artist_name,duration,artist_familiarity,artist_hotttnesss,year,listeners,playcount,tags
100 Club 1996 ''We Love You Beatles'' - Live,Sex Pistols - The Interviews,Sex Pistols,88.73751,0.731184230413,0.549204383877,0,172,210,"The Beatles, title is a full sentence"
Yo Quiero Contigo,Sentenciados - Platinum Edition,Baby Rasta & Gringo,167.36608,0.610186309765,0.355320262173,0,9753,16911,"Reggaeton, alexis y fido, Eliana, mis videos, Baby Rasta Y Gringo - Yo Quiero Contigo"
Vankina vapauden,20 Suosikkia / Jos vielä oot vapaa,Markus,189.36118,0.537533307736,0.343884048526,0,39,66,
Goody Goody,I've Got the World On a String,Charlie Byrd Trio,232.93342,0.394768270653,0.175411181094,0,46,89,
Emerald,Emerald,Bedrock,501.86404,0.654039350631,0.390624707501,2004,973,2247,dance
To Pouli,Thisia Live,Angela Dimitriou,78.70649,0.26471398657,0.0,0,33,110,
Karma,The Diary Of Alicia Keys,Alicia Keys,255.99955,0.93391610637,0.778673579184,2003,250304,1028356,"rnb, soul, Alicia Keys, female vocalists, Karma"
Money Blues,Slidetime,Joanna Connor,243.66975,0.479218000911,0.332856514457,0,429,1008,"guitar girl, blues"
This Is A Stick Up,Full Blooded Niggaz,Ghetto Mafia,286.37995,0.408796736678,0.0,0,125,259,"Gangsta Rap, southern rap, Ghetto Mafia"
Heartbreaker,Chronicles,Free,229.56363,0.415140367895,0.2497396712,1972,17256,54512,"classic rock, rock, 70s, blues rock, hard rock"
Sou Vazo Diskola,I Ellada Ti Nichta 2 (Greece At Night 2),Natassa Theodoridou,209.99791,0.344165049415,0.303189556632,0,415,1171,"Greek, greece, hyo greek II"
Pete's Crusade,The Best Of The Light Of The World,Light Of The World,247.74485,0.475730977551,0.365841574068,1980,1661,3911,"Gilles Peterson, 1980, DANCEFLOOR CLASSICS"
Looking In Your Eyes,Join The Army,Suicidal Tendencies,167.78404,0.736677413341,0.526182556347,1987,17703,52220,"hardcore punk, heavy metal, metal, thrash metal, crossover"
Doin' It,Rock'N Roll Gumbo,Professor Longhair,242.31138,0.611771113216,0.402054896734,1985,3761,9118,"blues, New Orleans Blues, doin it, BLUEZZZ, week end party"
Chiove,The Italian Sessions,Rita Chiarelli,228.38812,0.404823303308,0.288050285376,2006,48,118,"italian, vocals female"
