,0,1,2,3
0,369,369,1865,1716
1,1326,1175,1904,538
2,338,1510,1500,92
3,675,1617,1774,1874
4,1674,312,1936,280
5,1258,1580,812,164
6,1106,1300,556,1617
7,747,747,313,606
8,194,636,1689,35
9,1603,1272,1461,1689
10,1559,1936,978,312
11,1006,1006,44,1297
12,974,737,1950,1106
13,955,1403,1487,1500
14,529,1407,1840,253
15,496,1939,1272,1271
16,988,1020,892,948
17,1329,1403,1936,1713
18,1439,1394,857,1510
19,155,1661,212,1407
20,380,814,1614,430
21,1094,1403,312,294
22,1778,1766,1294,1175
23,426,426,1076,1972
24,1071,338,1481,1602
25,724,635,21,556
26,1301,1989,150,1975
27,552,713,1256,702
28,402,233,829,1867
29,1538,1496,1773,1593
30,1072,168,853,214
31,223,40,41,273
32,257,1908,339,547
33,1895,844,312,1961
34,1279,978,278,1293
35,1352,1727,113,1766
36,482,727,781,892
37,582,1355,1874,944
38,15,476,1936,1018
39,1101,1586,1027,556
40,989,1900,984,812
41,1312,670,67,1670
42,1604,944,1403,1978
43,877,877,309,1097
44,1645,625,435,1427
45,1991,892,1931,1975
46,1902,1760,211,538
47,499,1752,1302,1113
48,596,135,556,978
49,1780,1840,1957,978
50,1249,1555,1580,1106
51,375,375,1580,48
52,1318,1272,1689,1271
53,1815,1120,885,1580
54,691,326,1905,1080
55,1943,1293,1,1980
56,1051,1051,68,312
57,1718,1513,1689,35
58,430,628,809,1689
59,58,1033,1580,1081
60,1842,625,1689,1111
61,605,814,617,603
62,278,278,1030,1957
63,537,1945,1680,1157
64,17,1089,845,733
65,590,1293,1780,1462
66,1992,1992,312,1050
67,1365,1580,1908,1271
68,516,1343,263,445
69,1747,135,1766,745
70,1372,1440,1845,965
71,464,465,814,1689
72,570,132,1527,1202
73,408,1864,192,435
74,595,885,1580,1402
75,722,255,1510,844
76,121,705,1200,1964
77,1169,1919,1008,1624
78,480,1981,440,575
79,37,37,549,144
80,841,1580,830,1689
81,118,118,472,879
82,1451,1451,879,1142
83,182,192,193,1060
84,1190,1201,1453,1447
85,1080,1080,1689,1298
86,916,1443,1109,1809
87,714,1050,844,283
88,1455,669,38,1245
89,1738,1294,538,694
90,174,174,1080,273
91,730,1030,694,1205
92,1264,328,1778,1679
93,1873,312,1294,1727
94,1826,1797,1396,1159
95,1575,1454,1905,1900
96,1059,815,1895,674
97,882,152,651,1640
98,907,530,889,782
99,901,161,948,134
100,1704,1698,1573,1580
101,430,628,809,1689
102,781,892,1018,1778
103,1190,1201,1453,1447
104,1962,253,1046,1186
105,959,959,1989,1355
106,732,1081,724,1276
107,498,1396,1159,1593
108,1242,814,699,396
109,1468,1557,603,798
110,1697,1697,576,1396
111,1355,572,949,892
112,256,1584,625,324
113,1980,1980,138,1995
114,1771,1772,299,1917
115,818,464,1689,838
116,626,1900,1513,1948
117,1423,1505,1514,1510
118,1091,1862,1186,319
119,1098,312,1727,962
