,0,1,2,3
0,1305,727,1018,268
1,1603,1272,1461,1689
2,1011,1011,843,699
3,1486,1496,280,1617
4,1802,1133,1128,1108
5,1360,1360,1294,277
6,1841,914,1995,299
7,1279,978,278,1293
8,1911,244,1515,611
9,379,380,652,1716
10,387,809,430,631
11,460,273,324,1584
12,719,830,1402,330
13,1871,1783,181,885
14,1560,1330,430,1716
15,460,273,324,1584
16,1031,1175,538,1294
17,1460,1460,632,273
18,17,1089,845,733
19,1503,1584,1501,632
20,1199,1081,1016,64
21,1073,863,1576,1162
22,1742,1076,1000,452
23,1411,96,814,1461
24,794,1905,789,603
25,236,236,1636,290
26,1597,856,365,1041
27,571,485,64,1081
28,1415,1415,1936,948
29,1163,1162,1848,1211
30,1506,1861,218,1507
31,1953,1953,1957,1780
32,910,1419,917,1402
33,222,892,1018,727
34,1126,1126,392,237
35,864,1426,734,727
36,1496,1496,948,301
37,405,888,1751,403
38,36,696,258,1319
39,16,830,1272,611
40,1861,1935,1506,1186
41,1148,461,551,1580
42,1367,1364,1496,675
43,589,589,795,1272
44,1121,773,1990,1162
45,91,1367,99,1496
46,1960,1994,968,1975
47,239,480,1851,1387
48,473,473,1403,255
49,283,1936,1050,1727
50,364,1401,879,87
51,442,1799,324,1419
52,1299,329,1030,1772
53,1359,1047,1994,1049
54,1698,814,1673,1689
55,269,587,1992,308
56,134,134,1403,515
57,1660,1159,1396,498
58,722,255,1510,844
59,1012,1718,1959,177
60,795,830,1419,1908
61,80,944,1916,572
62,1936,1403,312,1905
63,1506,1861,218,1507
64,1793,1793,71,1474
65,944,1403,95,281
66,573,573,1681,955
67,1019,322,1944,934
68,1417,1513,1510,1521
69,838,1689,1330,1613
70,1610,1689,625,606
71,776,1972,1297,1995
72,1922,262,1978,172
73,352,353,359,358
74,390,1510,1514,1845
75,1575,1454,1905,1900
76,1917,44,997,978
77,1245,38,1455,1317
78,1900,1905,454,1513
79,1386,1316,1840,315
80,1749,324,330,211
81,137,1403,955,294
82,1606,1606,177,556
83,1747,135,1766,745
84,1641,64,873,1002
85,163,1403,1415,1936
86,904,1403,955,948
87,226,226,452,290
88,718,718,556,1336
