,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198
0,1425,1267,83,791,1539,1539,83,283,693,842,286,1425,1359,286,791,693,1620,286,1620,726,83,83,1077,726,726,286,842,286,1425,1359,726,726,1077,1425,175,842,175,1425,1077,1620,1359,90,1359,1359,1425,1692,1692,1692,286,1077,175,90,83,283,1267,791,1077,726,1539,283,1990,1267,693,175,1077,1539,791,1359,1539,726,693,1620,1990,842,726,83,1539,90,1359,83,1539,175,1425,283,286,726,791,283,175,286,1539,791,286,842,1620,90,1077,693,175,175,1077.0,1692.0,1620.0,1620.0,1267.0,83.0,1692.0,1539.0,286.0,1425.0,726.0,1692.0,90.0,1539.0,1539.0,1425.0,1692.0,175.0,175.0,1539.0,286.0,83.0,1077.0,726.0,175.0,1267.0,83.0,83.0,175.0,1539.0,693.0,1267.0,726.0,842.0,842.0,286.0,283.0,90.0,90.0,1692.0,1539.0,283.0,842.0,283.0,1077.0,842.0,1359.0,1692.0,1539.0,791.0,1620.0,842.0,1539.0,726.0,175.0,1990.0,693.0,1267.0,1620.0,90.0,1620.0,283.0,842.0,842.0,83.0,693.0,1620.0,283.0,1425.0,175.0,1990.0,83.0,842.0,1539.0,693.0,693.0,,,,,,,,,,,,,,,,,,,,,,,
1,1655,1992,1655,1992,189,1421,336,189,576,598,423,336,1421,1421,576,423,1421,1655,336,423,576,1653,1653,1110,336,598,598,576,1653,1992,1655,1421,189,1427,598,1110,189,1110,381,1110,598,598,189,381,1992,423,1427,1992,1992,1655,1655,336,423,1421,381,576,1992,1421,1992,1421,1992,598,598,1655,1655,1653,598,336,576,598,1653,1655,423,1110,189,576,1421,598,598,1653,1110,1653,1653,576,423,1427,1421,1653,598,189,1653,1427,1653,1110,1427,1653,1427,189,1653,1421,1653.0,1655.0,381.0,576.0,1427.0,336.0,423.0,1421.0,1653.0,598.0,1110.0,598.0,1655.0,336.0,1653.0,1653.0,1421.0,336.0,1110.0,336.0,1110.0,576.0,1655.0,1653.0,1992.0,1421.0,1110.0,1655.0,1992.0,1655.0,381.0,1421.0,598.0,1427.0,598.0,1427.0,336.0,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,743,256,912,1885,743,1690,1092,1608,1885,1885,256,1587,596,1885,743,1092,912,1885,1092,596,473,473,1587,1587,256,1422,1608,256,635,596,912,1608,743,635,1587,635,1690,1422,256,1587,1885,473,912,596,1690,473,1422,256,1608,473,1690,473,473,1885,1587,743,596,1422,743,743,743,1690,1690,256,1587,1092,635,1587,1587,1690,743,912,596,256,635,1422,1422,596,1422,596,1885,1690,473,1885,1587,1422,1092,1690,1092,473,596,1885,1422,473,1587,1422,912,1587,256,256,1608.0,743.0,596.0,1690.0,1690.0,912.0,1608.0,1092.0,1422.0,1690.0,743.0,1422.0,1587.0,1587.0,635.0,912.0,256.0,1608.0,1885.0,596.0,912.0,1885.0,596.0,1690.0,1092.0,912.0,1608.0,1608.0,1092.0,1885.0,1422.0,1885.0,743.0,1587.0,1608.0,1092.0,1092.0,596.0,473.0,743.0,473.0,473.0,256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1958,387,894,887,1689,1877,387,635,894,413,894,387,387,413,1689,635,413,387,894,1689,887,635,1689,387,635,1101,1877,1689,1877,575,1958,1689,1062,1958,1877,1958,894,1101,635,894,1689,1689,635,1101,575,1101,575,1062,413,413,1101,1689,387,1689,887,635,1689,1877,1062,575,894,1877,1062,575,1877,1101,635,1729,894,413,635,635,894,1877,1062,635,894,413,1729,1877,1062,635,1958,1958,1101,1877,635,1958,413,413,1729,575,575,1877,413,575,413,1877,1689,1958,1101.0,1877.0,1877.0,1729.0,413.0,413.0,1958.0,1062.0,1689.0,1101.0,887.0,887.0,887.0,387.0,575.0,1689.0,1877.0,894.0,887.0,1689.0,1877.0,635.0,387.0,575.0,575.0,1729.0,1689.0,575.0,894.0,1958.0,1062.0,635.0,894.0,1958.0,1689.0,387.0,413.0,1958.0,413.0,1062.0,1101.0,1101.0,413.0,887.0,894.0,1729.0,1689.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,625,1606,911,1606,1202,222,1202,1606,682,66,66,222,66,911,682,222,911,222,911,1006,1006,1006,625,301,1606,1006,301,1606,1202,1202,911,1606,222,911,1606,1006,301,682,66,1011,682,911,1006,1006,625,1202,222,1202,1006,301,1202,1202,301,222,625,1606,682,301,301,625,1202,222,222,682,1606,1202,682,301,1006,66,301,1006,301,1606,911,911,1606,1202,1606,682,222,66,1006,1202,911,682,911,1202,625,1006,625,66,911,301,222,1606,911,682,222,222,1006.0,1202.0,1202.0,625.0,625.0,66.0,222.0,1606.0,301.0,1011.0,222.0,1006.0,222.0,1011.0,222.0,1006.0,625.0,1006.0,1606.0,682.0,66.0,222.0,911.0,682.0,1011.0,222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,431,1243,1563,787,1620,1806,1620,1774,222,827,616,1495,1495,715,95,1450,1450,920,920,222,95,95,827,827,1620,580,580,1806,1517,787,1620,1806,431,222,222,1806,1662,1662,222,222,1184,1517,580,715,1184,1806,1774,715,715,1517,95,1517,827,1517,1563,580,95,95,580,1450,1806,1517,95,580,1662,1243,1662,1774,281,1774,95,1495,1450,616,1662,1662,580,827,715,281,1620,1495,827,580,1806,580,1495,580,1662,95,1806,1450,827,1662,580,580,715,787,1184,1662,920.0,1563.0,1563.0,95.0,827.0,1662.0,222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,928,1854,899,1854,928,877,1322,1207,874,1581,940,877,899,768,899,1526,940,1581,62,1207,874,768,877,874,62,899,768,1207,928,928,940,1924,928,874,928,1854,877,874,899,1924,899,768,1526,1924,928,1924,768,1854,1854,1581,1581,1924,940,1322,62,899,1322,874,1924,1526,1322,62,62,899,877,1526,768,877,62,928,1854,1526,1207,899,1207,1207,874,768,1526,928,1581,1581,62,1207,877,768,928,874,928,62,1854,1854,1854,1854,62,1581,877,1854,768,1581,1924.0,768.0,1207.0,1322.0,1581.0,940.0,1581.0,1924.0,1207.0,1854.0,874.0,877.0,1526.0,899.0,1322.0,1207.0,874.0,877.0,1924.0,1924.0,1207.0,899.0,1207.0,62.0,1581.0,1581.0,899.0,1581.0,1924.0,874.0,899.0,62.0,899.0,1207.0,1322.0,1207.0,1854.0,1526.0,1526.0,1322.0,899.0,1322.0,874.0,877.0,768.0,1322.0,1526.0,940.0,1924.0,1924.0,1526.0,62.0,1924.0,928.0,1207.0,877.0,940.0,1581.0,1322.0,1207.0,928.0,768.0,899.0,1207.0,1581.0,768.0,899.0,874.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,497,1737,1306,1494,1269,14,497,497,1494,809,1306,1269,1126,93,497,855,809,1126,1269,1099,497,1306,1494,1306,1099,809,405,855,1126,1099,405,497,809,497,405,1737,1269,1126,1126,1269,1306,809,1494,1269,405,405,93,14,1126,14,93,855,1494,497,14,809,93,497,14,855,855,1306,1737,809,809,855,1126,405,93,93,14,1269,14,1306,93,1737,809,1737,1306,855,1126,1099,497,1494,14,1306,855,405,93,1306,1737,405,1494,93,1306,809,809,1737,14,855,93.0,1737.0,809.0,1494.0,1494.0,1494.0,14.0,1737.0,1269.0,855.0,14.0,405.0,1099.0,405.0,809.0,1494.0,1494.0,1306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1749,1017,486,332,1957,362,1750,486,1365,1010,63,462,1017,362,362,1010,1826,1749,486,117,1010,63,1957,362,462,362,640,97,538,1017,1583,97,1017,758,63,117,239,63,1365,1365,239,332,1957,1750,1365,117,97,538,1365,1749,239,486,97,97,1826,1583,1749,486,165,97,462,758,1017,1957,1750,462,97,1749,1749,63,1750,1749,332,640,239,640,462,1957,486,63,165,1010,1583,117,1957,97,538,1826,362,1826,332,486,1583,1826,362,117,97,1826,63,758,362.0,1749.0,1749.0,165.0,239.0,486.0,165.0,758.0,1010.0,1017.0,1583.0,117.0,1750.0,1750.0,332.0,1826.0,1583.0,1017.0,758.0,1365.0,1957.0,332.0,1017.0,117.0,486.0,1749.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1356,876,690,370,876,1798,1013,370,1546,1617,1798,370,109,698,109,1758,1356,370,1356,109,1798,698,1857,698,876,1617,1013,1546,109,698,1857,698,1857,1617,1798,1013,1857,1857,1013,109,1798,1758,1798,1798,1798,690,370,1758,1013,1798,370,1013,1857,1758,690,1857,1857,876,690,1617,1356,1758,1546,1798,698,370,1013,876,1013,690,1617,1617,698,698,370,876,1546,1546,109,1356,698,690,109,1356,876,1758,1857,690,690,876,1798,370,1356,876,1013,1013,1857,1356,1546,1857,876.0,690.0,1546.0,1546.0,1546.0,1617.0,1546.0,1758.0,370.0,1758.0,1798.0,690.0,876.0,1857.0,1546.0,1758.0,698.0,1356.0,1798.0,1356.0,1798.0,690.0,698.0,1356.0,1857.0,1857.0,1798.0,109.0,876.0,1758.0,109.0,1857.0,876.0,109.0,1546.0,1798.0,698.0,1356.0,1013.0,1356.0,109.0,1617.0,1857.0,370.0,1857.0,109.0,1013.0,1798.0,690.0,1546.0,1857.0,1546.0,1013.0,698.0,1758.0,1356.0,370.0,690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
